model,param1,param2,SSE,MSE,s2,R2,maxAbsStdResidual,maxCook
Linear,134538.051470588,6595.3431372549,1742908720.38399,108931795.023999,124493480.027428,0.894576285129741,2.60425172120963,1.00117113261964
Direct nonlinear exponential,137226.960313858,0.0371086087177533,1236251449.78002,77265715.6112514,88303674.9842873,0.92522257831102,2.46666065303204,1.22604143545263
Log-linear exponential,139512.107165884,0.0349946784915545,1287674281.19228,80479642.5745178,0.00212824794377196,0.922112153850333,2.312943725872,0.789718900240812
