label,model,formula,n,theta1,theta2,theta3,SSE,MSE,s2,SST,R2,maxAbsStdResidual,maxCook
Faithful geyser,saturation,y = a + b(1-exp(-cx)),272,14.1152879213172,92.85111065113,0.286885756055429,9050.84501552547,33.2751654982554,33.646263998236,50087.1176470588,0.81929794644398,2.56232652866725,0.0617592097388275
Diamonds,power,y = a*x^b,5000,5083.86812989543,1.44524133525542,NaN,12995735289.7401,2599147.05794802,2600187.13280114,78635884106.3968,0.834735306439024,10.6156772571265,1.09356620857773
Mammal sleep,power,y = a*x^b,83,10.8217956412457,-0.0702813088798685,NaN,1140.15435207209,13.7367994225553,14.075979655211,1624.06554216867,0.297962845422112,2.69388833669283,0.182554802158056
Penguins Adelie,power,y = a*x^b,151,0.515025394905771,1.69229630575489,NaN,24607706.7430652,162964.945318313,165152.39424876,31542433.7748344,0.219853898442737,2.83712176469723,0.0495732402396164
MPG pickup,expdecay,y = a + b*exp(-cx),33,14.381805130405,34.5389455156712,0.626382021527129,94.037044552464,2.84960741068073,3.1345681517488,165.515151515152,0.431852348914077,2.41872159021477,0.112278107274825
Austin housing,expgrowth,y = a*exp(bx),16,137226.960313858,0.0371086087177533,NaN,1236251449.78002,77265715.6112514,88303674.9842873,16532416093.75,0.92522257831102,2.46666065303204,1.22604143545263
